CODE_BARRES	NOM_COMMERCIAL	PRINCIPE_ACTIF	DOSAGE	EQUIVALENTS
6118001250660	VELAXOR LP	VENLAFAXINE	37.5 MG	EFFEXOR [6118001182831] | EFFEXOR LP [6118001480437]
6118001250677	VELAXOR LP	VENLAFAXINE	75 MG	EFFEXOR LP 75 MG [6118001183685] | EFFEXOR LP 75 MG [6118010118678]
6118001250721	AVIRANZ	EFAVIRENZ	200 MG	EFAVIR [6118001100750] | STOCRIN [6118001160204]
6118001250738	TRETACNE	ISOTRETINOINE	5 MG	CURACNE [6118001180738]
6118001250745	TRETACNE	ISOTRETINOINE	10 MG	ACNO 10 MG [6118001270590] | ACNO 10 MG [6118001270606] | ACNO 10 MG [6118001270613] | ACNO 10 MG [6118001270620] | CURACNE [6118001180714] | OROTREX [6118001110162] | OROTREX [6118001110179] | OROTREX [6118001110186] | ROACCUTANE [6118001050390]
6118001250752	TRETACNE	ISOTRETINOINE	20 MG	ACNO 20 MG [6118001270637] | ACNO 20 MG [6118001270644] | ACNO 20 MG [6118001270651] | ACNO 20 MG [6118001270668] | CURACNE [6118001180721] | OROTREX [6118001110193] | OROTREX [6118001110209] | OROTREX [6118001110216] | ROACCUTANE [6118001050406]
6118001250769	AVIRANZ	EFAVIRENZ	600 MG	EFAVIR [6118001100767] | STOCRIN [6118001160198]
6118001250776	NUPENTIN	GABAPENTINE	300 MG	GABAMOX [6118001250622] | NEURONTIN [6118001170197] | NUPENTIN [6118001250783] | NUPENTIN [6118001250790]
6118001250783	NUPENTIN	GABAPENTINE	300 MG	GABAMOX [6118001250622] | NEURONTIN [6118001170197] | NUPENTIN [6118001250776] | NUPENTIN [6118001250790]
6118001250790	NUPENTIN	GABAPENTINE	300 MG	GABAMOX [6118001250622] | NEURONTIN [6118001170197] | NUPENTIN [6118001250776] | NUPENTIN [6118001250783]
