CODE	NOM	DCI1	DOSAGE1	UNITE_DOSAGE1	FORME	PRESENTATION	PPV	PH	PRIX_BR	PRINCEPS_GENERIQUE	TAUX_REMBOURSEMENT
6118001150526	PANOXYL	PEROXYDE DE BENZOYLE	5	%	GEL	1 TUBE 40 G	 40,20   	 26,20   	 40,20   	P	0%
6118001181735	MICROVAL	LEVONORGESTREL	0.03	MG	COMPRIME ENROBE	1 BOITE 28 COMPRIME	 13,95   	 9,20   	 13,95   	P	0%
6118001140824	LAMICTAL	LAMOTRIGINE	5	MG	COMPRIME DISPERSIBLE	1 BOITE 30 COMPRIME	 41,20   	 25,70   	 41,20   	P	70%
6118001121229	GYNERGENE CAFEINE	ERGOTAMINE / CAFEINE	1 / 100	MG / MG	COMPRIME	1 BOITE 20 COMPRIME	 41,80   	 27,60   	 41,80   	P	0%
6118000241119	ADRENALINE 0,50 MG	EPINEPHRINE	0.5	MG	SOLUTION INJECTABLE	1 BOITE 10 AMPOULE INJECTABLE	 20,60   	 13,60   	 20,60   	G	70%
6118000040712	SPASMOPRIV	MEBEVERINE	200	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME	 44,90   	 28,00   	 44,90   	G	70%
6118000100256	COVERSYL	PERINDOPRIL	4	MG	COMPRIME SECABLE	1 BOITE 30 COMPRIME	 232,40   	 153,70   	 105,00   	P	70%
6118001182558	ZOMIG	ZOLMITRIPTAN	2.5	MG	COMPRIME PELLICULE	1 BOITE 6 COMPRIME	 323,00   	 214,00   	 323,00   	P	70%
6118001080380	GENHEVAC B	VACCIN ANTI-HEPATITE B		NA	POUDRE POUR SUSPENSION INJECTABLE	1 BOITE 1 SERINGUE PREREMPLIE	 148,40   	 92,50   	 148,40   	P	70%
6118010116766	DIMAZOL	CARBIMAZOLE	10	MG	COMPRIME	1 BOITE 100 COMPRIME	 88,00   	 58,20   	 88,00   	G	0%
6118000241867	DIMAZOL	CARBIMAZOLE	10	MG	COMPRIME	1 BOITE 100 COMPRIME	 88,00   	 58,20   	 88,00   	G	0%
6118001030651	LUMIGAN 0.3MG/ML	BIMATOPROST	0.3	MG	COLLYRE	1 FLACON 3 ML	 230,00   	 152,10   	 230,00   	P	0%
6118001120925	MOSCONTIN	MORPHINE	60	MG	COMPRIME LP	1 BOITE 14 COMPRIME	 209,00   	 130,80   	 209,00   	P	70%
6118000160823	PENAMOX	AMOXICILLINE	500	MG	GELULE	1 BOITE 12 GELULE	 52,50   	 32,70   	 46,60   	P	70%
6118000030270	GENTOSYL	GENTAMICINE	40	MG	SOLUTION INJECTABLE	1 BOITE 1 AMPOULE INJECTABLE	 12,80   	 8,00   	 12,80   	G	70%
6118000013099	CIPROFLOXACINE WIN 250 MG	CIPROFLOXACINE	250	MG	COMPRIME PELLICULE	1 BOITE 20 COMPRIME PELLICULE	 63,40   	 41,90   	 63,40   	G	70%
6118001270699	PAROXETINE GT 20 MG	PAROXETINE	20	MG	COMPRIME PELLICULE	1 FLACON 10 COMPRIME PELLICULE	 63,00   	 39,20   	 63,00   	G	70%
6118010024870	PARAPSYLLIUM	TEGUMENT MUCILAGINEUX DE GRAINE DE PSYLIUM / PARAFFINE LIQUIDE	33.33 / 33.33	G / G	POUDRE POUR SUSPENSION BUVABLE	1 BOITE 1 FLACON	 37,55   	 -     	 37,55   	G	0%
6118000250685	ZOLOFT	SERTRALINE	50	MG	GELULE	1 BOITE 15 GELULE	 71,00   	 44,20   	 71,00   	P	70%
6118001220090	SEROHALE 50 µG	SALMETEROL / FLUTICASONE	25 / 50	µG / µG	SUSPENSION POUR INHALATION BUCCALE	1 FLACON 120 DOSE	 123,00   	 76,90   	 123,00   	G	70%
6118001184118	SEROHALE 50 µG	SALMETEROL / FLUTICASONE	25 / 50	µG / µG	SUSPENSION POUR INHALATION BUCCALE	1 FLACON 120 DOSE	 123,00   	 76,90   	 123,00   	G	70%
6118001030422	ZOMETA	ACIDE ZOLEDRONIQUE	4	MG	SOLUTION A DILUER POUR PERFUSION	1 BOITE 1 FLACON	 2 689,00   	 2 321,00   	 2 689,00   	P	70%
6118000190202	BUTAMYL	SALBUTAMOL	1	MG	SUPPOSITOIRE	1 BOITE 12 SUPPOSITOIRE	 30,60   	 19,10   	 30,60   	G	70%
6118000190028	ANTISTAPH / PENISTAPH	FLUCLOXACILLINE	500	MG	GELULE	1 BOITE 24 GELULE	 89,90   	 56,00   	 89,90   	G	70%
6118010035340	TOTAPEN	AMPICILLINE	1	G	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 8 FLACON	 51,80   	 -     	 51,80   	P	70%
6118001250844	BRONCOTEC	FORMOTEROL	12	µG	GELULE INHALEE	1 BOITE 30 GELULE	 123,80   	 77,40   	 123,80   	G	70%
6118000161028	AMOXIL	AMOXICILLINE	500	MG	POUDRE POUR SOLUTION INJECTABLE	1 BOITE 1 FLACON	 12,20   	 7,60   	 12,20   	P	70%
